,time,row_384,column_384,rfu_value,standard_conc,replicate,sample_set,reporter
377,00:12:00,L,7,898.793,,b,target_added,r5A-AAAGG-ddC
378,00:12:00,M,7,14.312000000000001,,b,no_target,r5A-AAAGG-ddC
379,00:12:00,N,7,25.761999999999997,,b,no_gRNA,r5A-AAAGG-ddC
380,00:12:00,J,9,151.707,0.625,a,standard,standard
381,00:12:00,K,9,120.221,0.625,b,standard,standard
382,00:12:00,L,9,5427.108,,a,target_added,r17A-r3C
383,00:12:00,M,9,526.681,,a,no_target,r17A-r3C
384,00:12:00,N,9,775.71,,a,no_gRNA,r17A-r3C
385,00:12:00,J,11,120.221,0.3125,a,standard,standard
386,00:12:00,K,11,88.734,0.3125,b,standard,standard
387,00:12:00,L,11,5295.438,,b,target_added,r17A-r3C
388,00:12:00,M,11,475.158,,b,no_target,r17A-r3C
389,00:12:00,N,11,1276.63,,b,no_gRNA,r17A-r3C
390,00:12:00,J,13,74.422,0.15625,a,standard,standard
391,00:12:00,K,13,60.11,0.15625,b,standard,standard
392,00:12:00,L,13,22.899,,a,target_added,H20
393,00:12:00,M,13,28.624000000000002,,a,no_target,H20
394,00:12:00,N,13,34.349000000000004,,a,no_gRNA,H20
395,00:12:00,J,15,80.14699999999999,0.078125,a,standard,standard
396,00:12:00,K,15,85.87200000000001,0.078125,b,standard,standard
397,00:12:00,L,15,20.037,,b,target_added,H20
398,00:12:00,M,15,8.587,,b,no_target,H20
399,00:12:00,N,15,14.312000000000001,,b,no_gRNA,H20
400,00:12:00,J,17,88.734,0.0390625,a,standard,standard
401,00:12:00,K,17,94.459,0.0390625,b,standard,standard
402,00:12:00,L,17,34.349000000000004,,,,
403,00:12:00,M,17,20.037,,,,
404,00:12:00,N,17,11.45,,,,
405,00:12:00,J,19,37.211,0.0195312,a,standard,standard
406,00:12:00,K,19,45.798,0.0195312,b,standard,standard
407,00:12:00,L,19,17.174,,,,
408,00:12:00,M,19,17.174,,,,
409,00:12:00,N,19,17.174,,,,
410,00:12:00,J,21,57.248000000000005,0.0097656,a,standard,standard
411,00:12:00,K,21,65.835,0.0097656,b,standard,standard
412,00:12:00,L,21,8.587,,,,
413,00:12:00,M,21,25.761999999999997,,,,
414,00:12:00,N,21,17.174,,,,
415,00:12:00,J,23,51.523,0,a,standard,standard
416,00:12:00,K,23,11.45,0,b,standard,standard
417,00:12:00,L,23,31.486,,,,
418,00:12:00,M,23,22.899,,,,
419,00:12:00,N,23,40.074,,,,
420,00:14:00,J,1,8771.261,10,a,standard,standard
421,00:14:00,K,1,7680.95,10,b,standard,standard
422,00:14:00,L,1,65.992,,a,target_added,r5A-GGAGG-phos
423,00:14:00,M,1,25.823,,a,no_target,r5A-GGAGG-phos
424,00:14:00,N,1,20.085,,a,no_gRNA,r5A-GGAGG-phos
425,00:14:00,J,3,2369.99,5,a,standard,standard
426,00:14:00,K,3,2435.9829999999997,5,b,standard,standard
427,00:14:00,L,3,48.777,,b,target_added,r5A-GGAGG-phos
428,00:14:00,M,3,28.691999999999997,,b,no_target,r5A-GGAGG-phos
429,00:14:00,N,3,11.477,,b,no_gRNA,r5A-GGAGG-phos
430,00:14:00,J,5,998.495,2.5,a,standard,standard
431,00:14:00,K,5,1061.618,2.5,b,standard,standard
432,00:14:00,L,5,1101.787,,a,target_added,r5A-AAAGG-ddC
