,experiment,read,read_number,row,column,well,rfu_value,sample_set,concentration,concentration_target_molecules,concentration_target_molecules_number
159,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,D,3,D3,1396.78,UMP_Standards,100nM,6E11,6E11
160,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,D,3,D3,1378.88,UMP_Standards,100nM,6E11,6E11
161,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,D,3,D3,1409.18,UMP_Standards,100nM,6E11,6E11
162,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,D,4,D4,1428.49,UMP_Standards,10nM,6E10,6E10
163,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,D,4,D4,1419.08,UMP_Standards,10nM,6E10,6E10
164,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,D,4,D4,1406.58,UMP_Standards,10nM,6E10,6E10
165,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,D,4,D4,1398.68,UMP_Standards,10nM,6E10,6E10
166,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,D,4,D4,1398.68,UMP_Standards,10nM,6E10,6E10
167,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,D,4,D4,1359.08,UMP_Standards,10nM,6E10,6E10
168,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,D,5,D5,1406.98,UMP_Standards,1nM,6E9,6E9
169,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,D,5,D5,1420.08,UMP_Standards,1nM,6E9,6E9
170,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,D,5,D5,1411.98,UMP_Standards,1nM,6E9,6E9
171,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,D,5,D5,1426.99,UMP_Standards,1nM,6E9,6E9
172,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,D,5,D5,1400.88,UMP_Standards,1nM,6E9,6E9
173,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,D,5,D5,1392.98,UMP_Standards,1nM,6E9,6E9
174,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,D,6,D6,1540.0,UMP_Standards,100pM,6E8,6E8
175,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,D,6,D6,1436.59,UMP_Standards,100pM,6E8,6E8
176,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,D,6,D6,1493.19,UMP_Standards,100pM,6E8,6E8
177,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,D,6,D6,1434.69,UMP_Standards,100pM,6E8,6E8
178,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,D,6,D6,1451.69,UMP_Standards,100pM,6E8,6E8
179,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,D,6,D6,1410.48,UMP_Standards,100pM,6E8,6E8
180,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,D,7,D7,1490.09,UMP_Standards,10pM,6E7,6E7
