,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,hours,minutes,seconds
324,01:00:00,A,19,13.093,a,100uL,0.0195312,01,00,00
325,01:00:00,C,19,22.445,b,100uL,0.0195312,01,00,00
326,01:00:00,E,19,13.093,a,20uL,0.0195312,01,00,00
327,01:00:00,G,19,14.028,b,20uL,0.0195312,01,00,00
328,01:00:00,A,21,9.352,a,100uL,0.0097656,01,00,00
329,01:00:00,C,21,11.223,b,100uL,0.0097656,01,00,00
330,01:00:00,E,21,12.158,a,20uL,0.0097656,01,00,00
331,01:00:00,G,21,16.834,b,20uL,0.0097656,01,00,00
332,01:00:00,A,23,19.64,a,100uL,0,01,00,00
333,01:00:00,C,23,9.352,b,100uL,0,01,00,00
334,01:00:00,E,23,16.834,a,20uL,0,01,00,00
335,01:00:00,G,23,11.223,b,20uL,0,01,00,00
