,Unnamed: 0,time,row_384,column_384,rfu_value,sample_set,standard_conc,gRNA_used,replicate,reporter
235,235,00:40:00,D,22,3388.693,no_target,,IVT_D9_3Cs,b,DNA-RNA-Luc
236,236,00:40:00,A,24,87.639,standard,0,standard,a,DNA-RNA-Luc
237,237,00:40:00,B,24,67.19,standard,0,standard,b,DNA-RNA-Luc
238,238,00:40:00,C,24,213.254,no_target,,none,a,DNA-RNA-Luc
239,239,00:40:00,D,24,96.402,no_target,,none,b,DNA-RNA-Luc
240,240,00:50:00,A,2,6651.713000000002,standard,10,standard,a,DNA-RNA-Luc
241,241,00:50:00,B,2,6139.142,standard,10,standard,b,DNA-RNA-Luc
242,242,00:50:00,C,2,225.531,target_added,,syn_11C,a,DNA-RNA-Luc
243,243,00:50:00,D,2,248.963,target_added,,syn_11C,b,DNA-RNA-Luc
244,244,00:50:00,A,4,4129.862,standard,5,standard,a,DNA-RNA-Luc
245,245,00:50:00,B,4,3693.444,standard,5,standard,b,DNA-RNA-Luc
246,246,00:50:00,C,4,3687.586,target_added,,IVT_11C,a,DNA-RNA-Luc
247,247,00:50:00,D,4,3306.818,target_added,,IVT_11C,b,DNA-RNA-Luc
248,248,00:50:00,A,6,1918.482,standard,2.5,standard,a,DNA-RNA-Luc
249,249,00:50:00,B,6,1947.772,standard,2.5,standard,b,DNA-RNA-Luc
250,250,00:50:00,C,6,5532.843000000002,target_added,,IVT_D9_3Cs,a,DNA-RNA-Luc
251,251,00:50:00,D,6,5579.7069999999985,target_added,,IVT_D9_3Cs,b,DNA-RNA-Luc
252,252,00:50:00,A,8,899.197,standard,1.25,standard,a,DNA-RNA-Luc
253,253,00:50:00,B,8,940.203,standard,1.25,standard,b,DNA-RNA-Luc
254,254,00:50:00,C,8,181.597,target_added,,none,a,DNA-RNA-Luc
255,255,00:50:00,D,8,125.946,target_added,,none,b,DNA-RNA-Luc
256,256,00:50:00,A,10,489.14,standard,0.625,standard,a,DNA-RNA-Luc
257,257,00:50:00,B,10,468.637,standard,0.625,standard,b,DNA-RNA-Luc
258,258,00:50:00,C,10,207.958,no_cas12a,,syn_11C,a,DNA-RNA-Luc
259,259,00:50:00,D,10,131.804,no_cas12a,,syn_11C,b,DNA-RNA-Luc
260,260,00:50:00,A,12,213.816,standard,0.3125,standard,a,DNA-RNA-Luc
261,261,00:50:00,B,12,205.029,standard,0.3125,standard,b,DNA-RNA-Luc
262,262,00:50:00,C,12,2082.505,no_cas12a,,IVT_11C,a,DNA-RNA-Luc
263,263,00:50:00,D,12,1660.7320000000002,no_cas12a,,IVT_11C,b,DNA-RNA-Luc
264,264,00:50:00,A,14,172.81,standard,0.15625,standard,a,DNA-RNA-Luc
265,265,00:50:00,B,14,169.88099999999997,standard,0.15625,standard,b,DNA-RNA-Luc
266,266,00:50:00,C,14,2803.034,no_cas12a,,IVT_D9_3Cs,a,DNA-RNA-Luc
267,267,00:50:00,D,14,58.58,no_cas12a,,IVT_D9_3Cs,b,DNA-RNA-Luc
268,268,00:50:00,A,16,93.727,standard,0.078125,standard,a,DNA-RNA-Luc
269,269,00:50:00,B,16,114.23,standard,0.078125,standard,b,DNA-RNA-Luc
270,270,00:50:00,C,16,196.242,no_cas12a,,none,a,DNA-RNA-Luc
271,271,00:50:00,D,16,2.929,no_cas12a,,none,b,DNA-RNA-Luc
272,272,00:50:00,A,18,84.94,standard,0.0390625,standard,a,DNA-RNA-Luc
273,273,00:50:00,B,18,82.01100000000002,standard,0.0390625,standard,b,DNA-RNA-Luc
274,274,00:50:00,C,18,123.017,no_target,,syn_11C,a,DNA-RNA-Luc
275,275,00:50:00,D,18,93.727,no_target,,syn_11C,b,DNA-RNA-Luc
276,276,00:50:00,A,20,82.01100000000002,standard,0.0195312,standard,a,DNA-RNA-Luc
277,277,00:50:00,B,20,114.23,standard,0.0195312,standard,b,DNA-RNA-Luc
278,278,00:50:00,C,20,2234.812,no_target,,IVT_11C,a,DNA-RNA-Luc
279,279,00:50:00,D,20,1605.081,no_target,,IVT_11C,b,DNA-RNA-Luc
280,280,00:50:00,A,22,181.597,standard,0.0097656,standard,a,DNA-RNA-Luc
281,281,00:50:00,B,22,102.514,standard,0.0097656,standard,b,DNA-RNA-Luc
282,282,00:50:00,C,22,2636.082000000001,no_target,,IVT_D9_3Cs,a,DNA-RNA-Luc
